# 生词
# ── 规则 -ar 动词 ──
hablar	说，讲
hablo	我说
hablas	你说
habla	他/她说
hablamos	我们说
habláis	你们说
hablan	他们/她们说
cantar	唱歌
canto	我唱歌
cantas	你唱歌
canta	他/她唱歌
cantamos	我们唱歌
cantáis	你们唱歌
cantan	他们/她们唱歌
estudiar	学习
estudio	我学习
estudias	你学习
estudia	他/她学习
estudiamos	我们学习
estudiáis	你们学习
estudian	他们/她们学习
enseñar	教
enseño	我教
enseñas	你教
enseña	他/她教
enseñamos	我们教
enseñáis	你们教
enseñan	他们/她们教
presentar	介绍
presento	我介绍
presentas	你介绍
presenta	他/她介绍
presentamos	我们介绍
presentáis	你们介绍
presentan	他们/她们介绍
trabajar	工作
trabajo	我工作
trabajas	你工作
trabaja	他/她工作
trabajamos	我们工作
trabajáis	你们工作
trabajan	他们/她们工作
preguntar	问
pregunto	我问
preguntas	你问
pregunta	他/她问
preguntamos	我们问
preguntáis	你们问
preguntan	他们/她们问
encargar	负责；委托
encargo	我负责
encargas	你负责
encarga	他/她负责
encargamos	我们负责
encargáis	你们负责
encargan	他们/她们负责
desayunar	吃早餐
desayuno	我吃早餐
desayunas	你吃早餐
desayuna	他/她吃早餐
desayunamos	我们吃早餐
desayunáis	你们吃早餐
desayunan	他们/她们吃早餐
llevar	带；穿
llevo	我带
llevas	你带
lleva	他/她带
llevamos	我们带
lleváis	你们带
llevan	他们/她们带
tomar	拿；喝；乘坐
tomo	我拿
tomas	你拿
toma	他/她拿
tomamos	我们拿
tomáis	你们拿
toman	他们/她们拿
regresar	返回
regreso	我返回
regresas	你返回
regresa	他/她返回
regresamos	我们返回
regresáis	你们返回
regresan	他们/她们返回
organizar	组织
organizo	我组织
organizas	你组织
organiza	他/她组织
organizamos	我们组织
organizáis	你们组织
organizan	他们/她们组织
terminar	结束
termino	我结束
terminas	你结束
termina	他/她结束
terminamos	我们结束
termináis	你们结束
terminan	他们/她们结束
repasar	复习
repaso	我复习
repasas	你复习
repasa	他/她复习
repasamos	我们复习
repasáis	你们复习
repasan	他们/她们复习
# ── 规则 -er 动词 ──
comer	吃
como	我吃
comes	你吃
come	他/她吃
comemos	我们吃
coméis	你们吃
comen	他们/她们吃
beber	喝
bebo	我喝
bebes	你喝
bebe	他/她喝
bebemos	我们喝
bebéis	你们喝
beben	他们/她们喝
