# 生词
paquete	包裹，包
verdad	真相，事实；de verdad 真的
entender	理解，明白
entiendo	我理解
entiendes	你理解
entiende	他/她理解
entendemos	我们理解
entendéis	你们理解
entienden	他们/她们理解
cenar	吃晚饭
ceno	我吃晚饭
cenas	你吃晚饭
cena	他/她吃晚饭
cenamos	我们吃晚饭
cenáis	你们吃晚饭
cenan	他们/她们吃晚饭
acercarse	靠近，接近
me acerco	我靠近
te acercas	你靠近
se acerca	他/她靠近
nos acercamos	我们靠近
os acercáis	你们靠近
se acercan	他们/她们靠近
demás	其余的，其他的
descansar	休息
descanso	我休息
descansas	你休息
descansa	他/她休息
descansamos	我们休息
descansáis	你们休息
descansan	他们/她们休息
asunto	事情，问题
importante	重要的
tema	话题，主题
viajar	旅行
viajo	我旅行
viajas	你旅行
viaja	他/她旅行
viajamos	我们旅行
viajáis	你们旅行
viajan	他们/她们旅行
Chile	智利
mes	月，月份
acompañar	陪伴，陪同
acompaño	我陪伴
acompañas	你陪伴
acompaña	他/她陪伴
acompañamos	我们陪伴
acompañáis	你们陪伴
acompañan	他们/她们陪伴
persona	人
mejorar	改善，提高
mejoro	我改善
mejoras	你改善
mejora	他/她改善
mejoramos	我们改善
mejoráis	你们改善
mejoran	他们/她们改善
pronunciación	发音
cuál	哪一个
así	这样，如此
sin	没有，不
sala	客厅，厅
sofá	沙发
almorzar	吃午饭
almuerzo	我吃午饭
almuerzas	你吃午饭
almuerza	他/她吃午饭
almorzamos	我们吃午饭
almorzáis	你们吃午饭
almuerzan	他们/她们吃午饭
entregar	交出，提交
entrego	我交出
entregas	你交出
entrega	他/她交出
entregamos	我们交出
entregáis	你们交出
entregan	他们/她们交出
nota	分数；笔记；便条
noventa y cinco	九十五
sesenta y cinco	六十五
a pesar de	尽管，虽然
según	根据，按照
compañero	同学，同事，同伴
camiseta	T恤衫
limpiar	打扫，清洁
limpio	我打扫
limpias	你打扫
limpia	他/她打扫
limpiamos	我们打扫
limpiáis	你们打扫
limpian	他们/她们打扫
ordenar	整理，收拾
ordeno	我整理
ordenas	你整理
ordena	他/她整理
ordenamos	我们整理
ordenáis	你们整理
ordenan	他们/她们整理
sentarse	坐下
me siento	我坐下
te sientas	你坐下
se sienta	他/她坐下
nos sentamos	我们坐下
os sentáis	你们坐下
se sientan	他们/她们坐下
luego de	在……之后
rato	一会儿，片刻
médico	医生
papel	纸
facultad	系，学院
veinticinco	二十五
minuto	分钟
regalar	赠送（礼物）
regalo	我赠送
regalas	你赠送
regala	他/她赠送
regalamos	我们赠送
regaláis	你们赠送
regalan	他们/她们赠送
juguete	玩具
almuerzo	午餐
bastar	足够
basto	我足够
bastas	你足够
basta	他/她足够
bastamos	我们足够
bastáis	你们足够
bastan	他们/她们足够
ninguno	没有一个，任何都不
lugar	地方
quedarse	留下，待在
me quedo	我留下
te quedas	你留下
se queda	他/她留下
nos quedamos	我们留下
os quedáis	你们留下
se quedan	他们/她们留下
como	既然/因为（连词，无重音）

# 例句
¿Dónde dejo los libros?	我把书放哪里？
Allá, en aquella mesa.	那里，在那张桌子上。
Dejen, por favor, los paquetes en el pasillo. Aquí, adentro, ya no hay espacio.	请把包裹放在走廊里。这里面已经没有地方了。
Bueno, os dejo. Ya es muy tarde, tengo que regresar a casa.	好吧，我走了。太晚了，我得回家了。
¿De verdad piensas dejar tu país para ir a otro que no conoces?	你真的打算离开你的国家去另一个你不了解的国家吗？
Déjenme pasar, por favor. Tengo que hablar con el gerente.	请让我进去。我得和经理谈谈。
No entiendo por qué no dejes hablar a la chica con nosotros.	我不明白你为什么不让那女孩跟我们说话。
Ya es muy tarde. Deja de estudiar. Vamos a cenar.	现在太晚了。别学了。我们去吃饭吧。
La mujer, sin dejar de peinarse, se acerca a la puerta para ver quién llama.	女人边梳头边向门口走去，想看看是谁在敲门。
¿Habla usted francés?	您会说法语吗？
Mi amigo solo habla chino y un poco de español.	我的朋友只会说中文和一点西班牙语。
Puede usted hablar en español. Aquí todos entendemos esta lengua.	您可以说西班牙语。这里我们都懂这门语言。
Mi amigo es inglés, pero le gusta hablar en español.	我朋友是英国人，但他喜欢说西班牙语。
Ya no pienso hablar más. Estoy cansado.	我不想再说话了。我累了。
Dejad de hablar, ya. ¿No veis que los demás quieren descansar?	别说话了。你没看到别人想休息吗？
Si crees que es un asunto muy importante, ¿por qué no hablas de eso con el gerente?	如果你认为这是一个非常重要的问题，为什么不和经理谈谈呢？
No hable usted con Luis de ese tema. No le gusta nada.	别跟路易斯说这个话题。他一点也不喜欢。
¿Qué piensas hacer esta tarde?	你今天下午打算做什么？
Pensamos viajar a Chile el mes que viene. ¿No quieres acompañarnos?	我们计划下个月前往智利。你不想加入我们吗？
Los alumnos piensan que el profesor González es una persona que habla poco pero dice mucho.	学生们认为冈萨雷斯教授是一个讲得少但说得多的人。
Pienso que tienes que mejorar tu pronunciación.	我认为你需要提高你的发音。
¿En cuál de esas universidades quieres estudiar? Piénsalo bien.	你想去哪所大学学习？仔细想想。
Pero, chico, no hables así, sin pensar.	但是，孩子，不要那样说话，不假思索。
Estos días pienso mucho en mis padres.	这些天我经常想起我的父母。
¿En quién estás pensando?	你在想谁？
La sala es tan pequeña que no sé dónde poner el sofá.	客厅太小了以至于我不知道沙发放在哪里。
¿Son los libros que me traes? Por favor, ponlos ahí, en la mesa.	这些是你给我带来的书吗？请把它们放在桌子上。
Es hora de almorzar. Voy a poner la mesa.	该吃午饭了。我去摆桌子。
La mesa ya está puesta. Fernando, deja de trabajar y ven a cenar.	桌子已经摆好了。费尔南多，别工作了，来吃饭吧。
El trabajo que acabas de entregar me gusta mucho. Te voy a poner un noventa y cinco.	我真的很喜欢你刚刚交给我的作业。我给你打95分。
Teresa no entiende por qué la profesora siempre le pone la nota de sesenta y cinco, a pesar de que, según ella cree, sus trabajos son mejores que los de sus compañeros.	特蕾莎不明白为什么老师总是给她65分，尽管据她说，她的作业比她的同学们更好。
Si no te gusta esa camiseta amarilla, ponte esta azul.	如果你不喜欢那件黄色T恤，就穿这件蓝色的。
Si piensa usted salir, tiene que ponerse más ropa porque hace frío.	如果您打算出去，您必须穿上更多的衣服，因为现在很冷。
Después de limpiar y ordenar la sala, la madre se sienta en el sofá y se pone a leer.	打扫完客厅后，妈妈坐在沙发上开始看书。
